T1,ET,T2,T3,RTT,RTF,Cost,BytesUp1,BytesDown1,BytesDown2,BytesPerSecUp1,BytesPerSecDown1,BytesPerSecDown2,T4,CL,FRTT,FCL,Pipeline,Application,Device
1.037264000,3.132965828,2.899335693,.359521000,4.529750828,NA,.0000069620,434416,6228,NA,418809.4834102022,17323.0492794579,NA,NA,1.396785000,4.529750828,1.396785000,Edge-Only,Aeneas,192.168.1.131
1.042214000,3.119863759,2.891427324,.538002000,4.700079759,NA,.0000069329,431480,6228,NA,414003.2661238478,11576.1651443674,NA,NA,1.580216000,4.700079759,1.580216000,Edge-Only,Aeneas,192.168.1.131
1.204779000,3.115864951,2.904641695,.482261000,4.802904951,NA,.0000069240,421424,6228,NA,349793.6136005026,12914.1688836542,NA,NA,1.687040000,4.802904951,1.687040000,Edge-Only,Aeneas,192.168.1.131
1.146777000,3.097843477,2.940211427,.429022000,4.673642477,NA,.0000068840,434416,6228,NA,378814.7128866379,14516.7380693763,NA,NA,1.575799000,4.673642477,1.575799000,Edge-Only,Aeneas,192.168.1.131
1.106596000,3.133686206,2.890175466,.481417000,4.721699206,NA,.0000069636,431492,6228,NA,389927.3086112727,12936.8094604054,NA,NA,1.588013000,4.721699206,1.588013000,Edge-Only,Aeneas,192.168.1.131
1.216344000,3.087347456,2.895826139,.490969000,4.794660456,NA,.0000068607,421444,6228,NA,346484.2182803548,12685.1186123767,NA,NA,1.707313000,4.794660456,1.707313000,Edge-Only,Aeneas,192.168.1.131
T1,ET,T2,T3,RTT,RTF,Cost,BytesUp1,BytesDown1,BytesDown2,BytesPerSecUp1,BytesPerSecDown1,BytesPerSecDown2,T4,CL,FRTT,FCL,Pipeline,Application,Device
.801357000,10.170614946,4.295465274,.483278000,11.455249946,NA,.0000226011,434396,6228,NA,542075.5044256180,12886.9925798401,NA,NA,1.284635000,11.455249946,1.284635000,Edge-Only,Aeneas,192.168.1.182
.768359000,6.299834675,3.509274388,.400773000,7.468966675,NA,.0000139994,431512,6228,NA,561602.0636186990,15539.9690098883,NA,NA,1.169132000,7.468966675,1.169132000,Edge-Only,Aeneas,192.168.1.182
.905486000,6.092433273,3.471240722,.402159000,7.400078273,NA,.0000135386,421464,6228,NA,465456.1196970466,15486.4120907402,NA,NA,1.307645000,7.400078273,1.307645000,Edge-Only,Aeneas,192.168.1.182
.932772000,6.123648939,3.491911140,.464622000,7.521042939,NA,.0000136079,434396,6228,NA,465704.3736304262,13404.4449035990,NA,NA,1.397394000,7.521042939,1.397394000,Edge-Only,Aeneas,192.168.1.182
.998523000,6.240917386,3.481633736,.421048000,7.660488386,NA,.0000138685,431492,6228,NA,432130.2563886860,14791.6627082897,NA,NA,1.419571000,7.660488386,1.419571000,Edge-Only,Aeneas,192.168.1.182
.892417000,6.153659165,3.502476467,.460533000,7.506609165,NA,.0000136746,421444,6228,NA,472250.0803996338,13523.4608594823,NA,NA,1.352950000,7.506609165,1.352950000,Edge-Only,Aeneas,192.168.1.182
1.119284000,6.145771422,3.493573759,.393540000,7.658595422,NA,.0000136571,434396,6228,NA,388101.6792878304,15825.5831681658,NA,NA,1.512824000,7.658595422,1.512824000,Edge-Only,Aeneas,192.168.1.182
.888125000,6.188267863,3.535508704,.419067000,7.495459863,NA,.0000137515,431500,6228,NA,485855.0316678395,14861.5853789489,NA,NA,1.307192000,7.495459863,1.307192000,Edge-Only,Aeneas,192.168.1.182
.945124000,6.132276047,3.509365342,.404641000,7.482041047,NA,.0000136271,421444,6228,NA,445913.9753090599,15391.4210374134,NA,NA,1.349765000,7.482041047,1.349765000,Edge-Only,Aeneas,192.168.1.182
.914584000,6.216276678,3.511337001,.470290000,7.601150678,NA,.0000138138,434396,6228,NA,474965.6674509941,13242.8926832380,NA,NA,1.384874000,7.601150678,1.384874000,Edge-Only,Aeneas,192.168.1.182
.899480000,6.235722282,3.498440490,.351898000,7.487100282,NA,.0000138570,431480,6228,NA,479699.3818650776,17698.3103058272,NA,NA,1.251378000,7.487100282,1.251378000,Edge-Only,Aeneas,192.168.1.182
.814172000,6.079822595,3.465819729,.551709000,7.445703595,NA,.0000135105,421444,6228,NA,517635.0943043975,11288.5597298575,NA,NA,1.365881000,7.445703595,1.365881000,Edge-Only,Aeneas,192.168.1.182
1.040226000,6.184149806,3.504867342,.412717000,7.637092806,NA,.0000137424,434396,6248,NA,417597.7143428447,15138.7027915011,NA,NA,1.452943000,7.637092806,1.452943000,Edge-Only,Aeneas,192.168.1.182
.872400000,6.264168502,3.490157689,.360721000,7.497289502,NA,.0000139202,431500,6228,NA,494612.5630444750,17265.4211981004,NA,NA,1.233121000,7.497289502,1.233121000,Edge-Only,Aeneas,192.168.1.182
.835199000,6.120105392,3.499505331,.443388000,7.398692392,NA,.0000136000,421444,6228,NA,504603.0945918278,14046.3882649056,NA,NA,1.278587000,7.398692392,1.278587000,Edge-Only,Aeneas,192.168.1.182
1.282646000,6.104968894,3.490228214,.423222000,7.810836894,NA,.0000135664,434396,6228,NA,338671.7769361148,14715.6811318882,NA,NA,1.705868000,7.810836894,1.705868000,Edge-Only,Aeneas,192.168.1.182
.880681000,6.209313182,3.520527769,.413076000,7.503070182,NA,.0000137983,431500,6228,NA,489961.7455128474,15077.1286639746,NA,NA,1.293757000,7.503070182,1.293757000,Edge-Only,Aeneas,192.168.1.182
.918966000,6.134648256,3.554364194,.390352000,7.443966256,NA,.0000136324,421464,6228,NA,458628.5020338075,15954.8305119481,NA,NA,1.309318000,7.443966256,1.309318000,Edge-Only,Aeneas,192.168.1.182
.932545000,6.157969762,3.490274664,.361785000,7.452299762,NA,.0000136842,434396,6228,NA,465817.7353371687,17214.6440565529,NA,NA,1.294330000,7.452299762,1.294330000,Edge-Only,Aeneas,192.168.1.182
.855633000,6.223339798,3.475894365,.418081000,7.497053798,NA,.0000138295,431512,6228,NA,504319.0246285498,14896.6348626223,NA,NA,1.273714000,7.497053798,1.273714000,Edge-Only,Aeneas,192.168.1.182
.863920000,6.132889333,3.501886503,.403031000,7.399840333,NA,.0000136285,421444,6228,NA,487827.5766274655,15452.9056077572,NA,NA,1.266951000,7.399840333,1.266951000,Edge-Only,Aeneas,192.168.1.182
.971674000,6.119668095,3.488207408,.410588000,7.501930095,NA,.0000135991,434396,6228,NA,447059.4046974602,15168.4900679026,NA,NA,1.382262000,7.501930095,1.382262000,Edge-Only,Aeneas,192.168.1.182
