T1,ET,T2,T3,RTT,RTF,Cost,BytesUp1,BytesDown1,BytesDown2,BytesPerSecUp1,BytesPerSecDown1,BytesPerSecDown2,T4,CL,FRTT,FCL,Pipeline,Application,Device
.518120000,7.693711861,2.890751304,.675040000,8.886871861,NA,.0000170969,39708,346840,NA,76638.6165367096,513806.5892391561,NA,NA,1.193160000,8.886871861,1.193160000,Edge-Only,YOLO,192.168.1.131
.585667000,9.154904646,2.908822843,1.273835000,11.014406646,NA,.0000203440,228536,1986192,NA,390214.9173506446,1559222.3482633151,NA,NA,1.859502000,11.014406646,1.859502000,Edge-Only,YOLO,192.168.1.131
.527404000,10.315447494,2.932106962,1.518677000,12.361528494,NA,.0000229229,187032,2805220,NA,354627.5720320664,1847147.2209034574,NA,NA,2.046081000,12.361528494,2.046081000,Edge-Only,YOLO,192.168.1.131
.480895000,7.661112883,2.908892868,.613291000,8.755298883,NA,.0000170245,39708,346840,NA,82571.0394160887,565539.0344877064,NA,NA,1.094186000,8.755298883,1.094186000,Edge-Only,YOLO,192.168.1.131
.598175000,9.154568035,2.920942703,1.539016000,11.291759035,NA,.0000203432,228536,1986192,NA,382055.4185648012,1290559.6822905025,NA,NA,2.137191000,11.291759035,2.137191000,Edge-Only,YOLO,192.168.1.131
.562262000,10.480143600,2.906228448,1.942154000,12.984559600,NA,.0000232889,187032,2805220,NA,332642.0778925127,1444385.9755714531,NA,NA,2.504416000,12.984559600,2.504416000,Edge-Only,YOLO,192.168.1.131
T1,ET,T2,T3,RTT,RTF,Cost,BytesUp1,BytesDown1,BytesDown2,BytesPerSecUp1,BytesPerSecDown1,BytesPerSecDown2,T4,CL,FRTT,FCL,Pipeline,Application,Device
.390791000,33.832242577,4.694681693,.549118000,34.772151577,NA,.0000751820,39708,346880,NA,101609.3001118244,631703.9324880990,NA,NA,.939909000,34.772151577,.939909000,Edge-Only,YOLO,192.168.1.182
.481614000,33.724600610,3.550380577,.667103000,34.873317610,NA,.0000749428,228536,1986352,NA,474521.0895032121,2977579.1744303353,NA,NA,1.148717000,34.873317610,1.148717000,Edge-Only,YOLO,192.168.1.182
.444941000,35.336075161,3.521525355,.775642000,36.556658161,NA,.0000785238,187032,2805220,NA,420352.3613243104,3616642.7295066538,NA,NA,1.220583000,36.556658161,1.220583000,Edge-Only,YOLO,192.168.1.182
.376388000,31.794402176,3.502552536,.406057000,32.576847176,NA,.0000706535,39708,346840,NA,105497.5185181249,854165.7944574283,NA,NA,.782445000,32.576847176,.782445000,Edge-Only,YOLO,192.168.1.182
.409552000,33.708188007,3.525226263,.672233000,34.789973007,NA,.0000749063,228536,1986272,NA,558014.6110872367,2954737.4199124410,NA,NA,1.081785000,34.789973007,1.081785000,Edge-Only,YOLO,192.168.1.182
.498303000,35.587206198,3.508591222,.789290000,36.874799198,NA,.0000790818,187032,2805300,NA,375337.8968218132,3554206.9454826489,NA,NA,1.287593000,36.874799198,1.287593000,Edge-Only,YOLO,192.168.1.182
.371538000,31.738413396,3.516859270,.453775000,32.563726396,NA,.0000705291,39708,346880,NA,106874.6669250520,764431.7117514186,NA,NA,.825313000,32.563726396,.825313000,Edge-Only,YOLO,192.168.1.182
.565083000,33.713936124,3.529351323,.649884000,34.928903124,NA,.0000749191,228536,1986192,NA,404429.0838690953,3056225.4186901046,NA,NA,1.214967000,34.928903124,1.214967000,Edge-Only,YOLO,192.168.1.182
.368118000,35.567942084,3.540793361,.833792000,36.769852084,NA,.0000790390,187032,2805260,NA,508076.2146920280,3364460.2011053116,NA,NA,1.201910000,36.769852084,1.201910000,Edge-Only,YOLO,192.168.1.182
.371606000,31.873092901,3.495187902,.453089000,32.697787901,NA,.0000708283,39708,346840,NA,106855.1099820777,765500.8177201388,NA,NA,.824695000,32.697787901,.824695000,Edge-Only,YOLO,192.168.1.182
.424201000,33.734940034,3.529796567,.692860000,34.852001034,NA,.0000749657,228536,1986212,NA,538744.6045624597,2866685.9105735646,NA,NA,1.117061000,34.852001034,1.117061000,Edge-Only,YOLO,192.168.1.182
.409628000,35.275375001,3.537245323,.771813000,36.456816001,NA,.0000783889,187032,2805320,NA,456589.8815510658,3634714.6264704015,NA,NA,1.181441000,36.456816001,1.181441000,Edge-Only,YOLO,192.168.1.182
.387171000,31.619207715,3.517665292,.441428000,32.447806715,NA,.0000702642,39708,346880,NA,102559.3342476580,785813.3149686925,NA,NA,.828599000,32.447806715,.828599000,Edge-Only,YOLO,192.168.1.182
.455742000,33.900814280,3.522536129,.648418000,35.004974280,NA,.0000753343,228536,1986332,NA,501459.1589100850,3063351.1099321733,NA,NA,1.104160000,35.004974280,1.104160000,Edge-Only,YOLO,192.168.1.182
.398030000,35.358651222,3.559179542,.734797000,36.491478222,NA,.0000785739,187032,2805300,NA,469894.2290782101,3817789.1308756023,NA,NA,1.132827000,36.491478222,1.132827000,Edge-Only,YOLO,192.168.1.182
.382995000,31.695097347,3.517400412,.454769000,32.532861347,NA,.0000704328,39708,346840,NA,103677.5937022676,762672.9174591935,NA,NA,.837764000,32.532861347,.837764000,Edge-Only,YOLO,192.168.1.182
.456065000,33.784604969,3.542779335,.648773000,34.889442969,NA,.0000750761,228536,1986272,NA,501104.0092969203,3061582.4024735924,NA,NA,1.104838000,34.889442969,1.104838000,Edge-Only,YOLO,192.168.1.182
.398204000,35.453428735,3.506113720,.772415000,36.624047735,NA,.0000787846,187032,2805280,NA,469688.9031752569,3631830.0395512774,NA,NA,1.170619000,36.624047735,1.170619000,Edge-Only,YOLO,192.168.1.182
.377334000,31.815425813,3.485025537,.451292000,32.644051813,NA,.0000707002,39708,346900,NA,105233.0296236225,768681.9176940871,NA,NA,.828626000,32.644051813,.828626000,Edge-Only,YOLO,192.168.1.182
.454040000,33.667175493,3.507089466,.683045000,34.804260493,NA,.0000748151,228536,1986192,NA,503338.9128711126,2907849.4096289409,NA,NA,1.137085000,34.804260493,1.137085000,Edge-Only,YOLO,192.168.1.182
.475067000,35.614168342,3.524520969,.837413000,36.926648342,NA,.0000791418,187032,2805240,NA,393696.0470838850,3349888.2869026394,NA,NA,1.312480000,36.926648342,1.312480000,Edge-Only,YOLO,192.168.1.182
.358931000,31.896663110,3.527128017,.520637000,32.776231110,NA,.0000708807,39708,346880,NA,110628.5052001638,666260.7536536972,NA,NA,.879568000,32.776231110,.879568000,Edge-Only,YOLO,192.168.1.182
.394190000,33.858943202,3.562132768,.698404000,34.951537202,NA,.0000752413,228536,1986232,NA,579761.0289454324,2843958.5111196384,NA,NA,1.092594000,34.951537202,1.092594000,Edge-Only,YOLO,192.168.1.182
