T1,ET,T2,T3,RTT,RTF,Cost,BytesUp1,BytesDown1,BytesDown2,BytesPerSecUp1,BytesPerSecDown1,BytesPerSecDown2,T4,CL,FRTT,FCL,Pipeline,Application,Device
1.996437000,1.376920000,1.274137635,2.421195000,5.794552000,NA,.0000061195,39376,346348,NA,19723.1367681524,143048.3707425465,NA,NA,4.417632000,5.794552000,4.417632000,Cloud-Only,YOLO,ec2-3-87-222-15.compute-1.amazonaws.com
2.360725000,1.925479492,1.395763341,3.697985000,7.984189492,NA,.0000085576,228204,1985700,NA,96666.9137658981,536968.1056034570,NA,NA,6.058710000,7.984189492,6.058710000,Cloud-Only,YOLO,ec2-3-87-222-15.compute-1.amazonaws.com
2.273502000,2.396933273,1.493890614,4.003930000,8.674365273,NA,.0000106529,186700,2804728,NA,82120.0069320370,700493.7648760093,NA,NA,6.277432000,8.674365273,6.277432000,Cloud-Only,YOLO,ec2-3-87-222-15.compute-1.amazonaws.com
1.974422000,1.375737118,1.288681665,2.502819000,5.852978118,NA,.0000061143,39376,346348,NA,19943.0516880383,138383.1591497427,NA,NA,4.477241000,5.852978118,4.477241000,Cloud-Only,YOLO,ec2-3-87-222-15.compute-1.amazonaws.com
2.049669000,1.905445217,1.288339496,3.312682000,7.267796217,NA,.0000084685,228204,1985700,NA,111337.0012426396,599423.6694014094,NA,NA,5.362351000,7.267796217,5.362351000,Cloud-Only,YOLO,ec2-3-87-222-15.compute-1.amazonaws.com
1.930068000,2.384216919,1.457543002,3.678747000,7.993031919,NA,.0000105964,186700,2804728,NA,96732.3431091547,762413.9414860548,NA,NA,5.608815000,7.993031919,5.608815000,Cloud-Only,YOLO,ec2-3-87-222-15.compute-1.amazonaws.com
1.698566000,1.378930555,1.280596731,2.453104000,5.530600555,NA,.0000061285,39376,346348,NA,23181.9075620258,141187.6544981378,NA,NA,4.151670000,5.530600555,4.151670000,Cloud-Only,YOLO,ec2-3-87-222-15.compute-1.amazonaws.com
2.068556000,1.899864709,1.288705010,3.382535000,7.350955709,NA,.0000084437,228204,1985700,NA,110320.4360916504,587044.9234080356,NA,NA,5.451091000,7.350955709,5.451091000,Cloud-Only,YOLO,ec2-3-87-222-15.compute-1.amazonaws.com
2.258393000,2.397612483,1.591484570,3.913183000,8.569188483,NA,.0000106559,186700,2804728,NA,82669.4025353426,716738.2665211414,NA,NA,6.171576000,8.569188483,6.171576000,Cloud-Only,YOLO,ec2-3-87-222-15.compute-1.amazonaws.com
T1,ET,T2,T3,RTT,RTF,Cost,BytesUp1,BytesDown1,BytesDown2,BytesPerSecUp1,BytesPerSecDown1,BytesPerSecDown2,T4,CL,FRTT,FCL,Pipeline,Application,Device
2.281649000,2.550794337,1.695521016,2.333948000,7.166391337,.5597145372,.0000113367,148544,3208,NA,65103.7911615677,1374.4950615866,NA,NA,4.615597000,7.166391337,4.615597000,Cloud-Only,PocketSphinx,ec2-3-87-222-15.compute-1.amazonaws.com
2.345395000,3.458240908,1.448917616,2.389288000,8.192923908,.5207703955,.0000153698,215288,3216,NA,91791.7877372468,1346.0076809493,NA,NA,4.734683000,8.192923908,4.734683000,Cloud-Only,PocketSphinx,ec2-3-87-222-15.compute-1.amazonaws.com
2.386578000,3.860152252,1.277155775,2.360147000,8.606877252,.5812935155,.0000171560,215288,3216,NA,90207.8205698703,1362.6269889121,NA,NA,4.746725000,8.606877252,4.746725000,Cloud-Only,PocketSphinx,ec2-3-87-222-15.compute-1.amazonaws.com
2.257381000,2.361198371,1.277180371,2.340234000,6.958813371,.5181119600,.0000104941,148544,3208,NA,65803.6902055966,1370.8030906311,NA,NA,4.597615000,6.958813371,4.597615000,Cloud-Only,PocketSphinx,ec2-3-87-222-15.compute-1.amazonaws.com
2.383897000,3.689275144,1.281050174,2.364937000,8.438109144,.5555614334,.0000163966,215288,3216,NA,90309.2709122919,1359.8670915969,NA,NA,4.748834000,8.438109144,4.748834000,Cloud-Only,PocketSphinx,ec2-3-87-222-15.compute-1.amazonaws.com
2.330440000,3.843308665,1.274901469,2.346016000,8.519764665,.5787570695,.0000170812,215288,3216,NA,92380.8379533478,1370.8346405139,NA,NA,4.676456000,8.519764665,4.676456000,Cloud-Only,PocketSphinx,ec2-3-87-222-15.compute-1.amazonaws.com
2.219413000,2.443472377,1.277584010,2.339975000,7.002860377,.5361651431,.0000108597,148544,3208,NA,66929.4088121498,1370.9548178933,NA,NA,4.559388000,7.002860377,4.559388000,Cloud-Only,PocketSphinx,ec2-3-87-222-15.compute-1.amazonaws.com
2.325806000,3.490237978,1.273151098,2.316575000,8.132618978,.5255887778,.0000155120,215288,3216,NA,92564.9000819500,1388.2563698563,NA,NA,4.642381000,8.132618978,4.642381000,Cloud-Only,PocketSphinx,ec2-3-87-222-15.compute-1.amazonaws.com
2.344971000,3.821013993,1.275616833,2.348252000,8.514236993,.5753997542,.0000169821,215288,3216,NA,91808.3848371685,1369.5293350117,NA,NA,4.693223000,8.514236993,4.693223000,Cloud-Only,PocketSphinx,ec2-3-87-222-15.compute-1.amazonaws.com
2.225419000,2.322121067,1.278633053,2.366337000,6.913877067,.5095373231,.0000103204,148544,3208,NA,66748.7785446246,1355.6817984927,NA,NA,4.591756000,6.913877067,4.591756000,Cloud-Only,PocketSphinx,ec2-3-87-222-15.compute-1.amazonaws.com
